Genus	Subfamily	Family	Accession	Phage	Genome
Dunedinvirus		Casjensviridae	MN505213	Serratia phage JS26	dsDNA
Enchivirus		Casjensviridae	JQ340774	Enterobacter phage Enc34	dsDNA
Fengtaivirus		Casjensviridae	KT321316	Achromobacter phage phiAxp-2	dsDNA
Gediminasvirus		Casjensviridae	MW269554	Achromobacter phage vB_AchrS_AchV4	dsDNA
Gwanakrovirus		Casjensviridae	MN184886	Erwinia phage pEp_SNUABM_08	dsDNA
Jacunavirus		Casjensviridae	MT330372	Cronobacter phage JC01	dsDNA
Kokobelvirus		Casjensviridae	MW145139	Providencia phage Kokobel1	dsDNA
Lavrentievavirus		Casjensviridae	MN604053	Escherichia phage E21	dsDNA
Lavrentievavirus		Casjensviridae	MG030346	Proteus phage PM87	dsDNA
Maxdohrnvirus		Casjensviridae	MN536026	Pseudomonas phage vB_Pae-SS2019XI	dsDNA
Nazgulvirus		Casjensviridae	AY357582	Burkholderia phage BcepNazgul	dsDNA
Newforgelanevirus		Casjensviridae	MN692199	Pectobacterium phage MA12	dsDNA
Phobosvirus		Casjensviridae	MN478374	Bacteriophage Phobos	dsDNA
Phobosvirus		Casjensviridae	KY971609	Pseudomonas phage PspYZU01	dsDNA
Redjacvirus		Casjensviridae	MT675124	Providencia phage vB_PreS-PibeRecoleta	dsDNA
Redjacvirus		Casjensviridae	JX296113	Providencia phage Redjac	dsDNA
Salvovirus		Casjensviridae	LR743524	Xylella phage Bacata	dsDNA
Salvovirus		Casjensviridae	KF626668	Xylella phage Salvo	dsDNA
Sanovirus		Casjensviridae	KF626665	Xylella phage Sano	dsDNA
Seodaemunguvirus		Casjensviridae	MF476925	Klebsiella phage YMC16/01/N133_KPN_BP	dsDNA
Sessunavirus		Casjensviridae	KY249644	Synechococcus virus S-ESS1	dsDNA
Sharonstreetvirus		Casjensviridae	MN317029	Aeromonas phage vB_AhyS-A18P4	dsDNA
Sharonstreetvirus		Casjensviridae	MT952005	Aeromonas phage BUCT551	dsDNA
Yonseivirus		Casjensviridae	MF415410	Klebsiella phage KPN N137	dsDNA
Yonseivirus		Casjensviridae	MH817999	Klebsiella phage Seifer	dsDNA
Zhonglingvirus		Casjensviridae	LC553736	Salmonella phage SAP012	dsDNA
Carltongylesvirus	Cleopatravirinae	Chaseviridae	MN117721	Escherichia phage vB_EcoP_Bp7	dsDNA
Carltongylesvirus	Cleopatravirinae	Chaseviridae	MN122072	Escherichia phage vB_EcoM_Bp10	dsDNA
Faunusvirus	Cleopatravirinae	Chaseviridae	MH191398	Erwinia phage Faunus	dsDNA
Fifivirus	Cleopatravirinae	Chaseviridae	OQ818694	Erwinia phage Aioli	dsDNA
Fifivirus	Cleopatravirinae	Chaseviridae	PQ431420	Erwinia phage EaPF7	dsDNA
Loessnervirus	Cleopatravirinae	Chaseviridae	OQ818698	Erwinia phage Fougasse	dsDNA
Loessnervirus	Cleopatravirinae	Chaseviridae	OQ818704	Erwinia phage Papaline	dsDNA
Myducvirus	Cleopatravirinae	Chaseviridae	MN098326	Proteus phage Myduc	dsDNA
Qiaoyingvirus	Cleopatravirinae	Chaseviridae	PP763568	Aeromonas phage phiA050	dsDNA
Sabourvirus	Cleopatravirinae	Chaseviridae	MN136198	Escherichia phage vB_EcoM-4HA13	dsDNA
Suwonvirus	Cleopatravirinae	Chaseviridae	KF534715	Pectobacterium phage PM1	dsDNA
Suwonvirus	Cleopatravirinae	Chaseviridae	KY087898	Pectobacterium phage PP101	dsDNA
Liaoningvirus	Nefertitivirinae	Chaseviridae	OP056089	Vibrio phage vB_VpaM_VPs20	dsDNA
Longwangvirus	Nefertitivirinae	Chaseviridae	OL770365	Aeromonas phage BUCT696	dsDNA
Longwangvirus	Nefertitivirinae	Chaseviridae	OR795024	Aeromonas phage vB_AhydM-H1	dsDNA
Pahsextavirus	Nefertitivirinae	Chaseviridae	KJ858521	Aeromonas phage pAh6-C	dsDNA
Phayathaivirus	Nefertitivirinae	Chaseviridae	MZ336020	Aeromonas phage pAh6.2TG	dsDNA
Phayathaivirus	Nefertitivirinae	Chaseviridae	MW380983	Aeromonas phage PVN03	dsDNA
Shantouvirus	Nefertitivirinae	Chaseviridae	PV258714	Aeromonas phage LA93P1	dsDNA
Shantouvirus	Nefertitivirinae	Chaseviridae	OM810291	Aeromonas phage ZPAH14	dsDNA
Yushanvirus	Nefertitivirinae	Chaseviridae	KJ002054	Shewanella phage Spp001	dsDNA
Yushanvirus	Nefertitivirinae	Chaseviridae	KY709296	Shewanella phage SppYZU05	dsDNA
Aphroditevirus	Gorgonvirinae	Chimalliviridae	MG720308	Vibrio phage Aphrodite1	dsDNA
Aphroditevirus	Gorgonvirinae	Chimalliviridae	MK368614	Vibrio phage 2 TSL-2019	dsDNA
Tidunavirus	Gorgonvirinae	Chimalliviridae	AP017972	Vibrio phage pTD1	dsDNA
Tidunavirus	Gorgonvirinae	Chimalliviridae	KC131130	Vibrio phage VP4B	dsDNA
Agricanvirus		Chimalliviridae	KU886225	Erwinia phage vB_EamM_Deimos-Minion	dsDNA
Agricanvirus		Chimalliviridae	MG655268	Erwinia phage vB_EamM_Desertfox	dsDNA
Branisovskavirus		Chimalliviridae	MZ348422	Kosakonia phage Kc263	dsDNA
Chaoshanvirus		Chimalliviridae	OM810292	Aeromonas phage ZPAH34	dsDNA
Chiangmaivirus		Chimalliviridae	AP014927	Ralstonia phage RSF1	dsDNA
Chiangmaivirus		Chimalliviridae	AP014693	Ralstonia phage RSL2	dsDNA
Derbicusvirus		Chimalliviridae	MK514282	Erwinia phage Derbicus	dsDNA
Elvirus		Chimalliviridae	AJ697969	Pseudomonas phage EL	dsDNA
Eowynvirus		Chimalliviridae	LR881104	Klebsiella phage vB_KvM-Eowyn	dsDNA
Erskinevirus		Chimalliviridae	KX397364	Erwinia phage vB_EamM_Asesino	dsDNA
Erskinevirus		Chimalliviridae	JX316028	Erwinia phage PhiEaH2	dsDNA
Ferozepurvirus		Chimalliviridae	OL964756	Aeromonas phage pAEv1810	dsDNA
Ferozepurvirus		Chimalliviridae	MN032614	Aeromonas phage PS1	dsDNA
Goslarvirus		Chimalliviridae	MK327938	Escherichia phage vB_EcoM_Goslar	dsDNA
Iapetusvirus		Chimalliviridae	KF623294	Erwinia phage PhiEaH1	dsDNA
Ludhianavirus		Chimalliviridae	MN102098	Aeromonas phage D3	dsDNA
Ludhianavirus		Chimalliviridae	MN131137	Aeromonas phage D6	dsDNA
Maaswegvirus		Chimalliviridae	OZ240615	Klebsiella phage vB_KpM_Centimanus	dsDNA
Maaswegvirus		Chimalliviridae	MW394391	Klebsiella phage vB_KpM_FBKp24	dsDNA
Machinavirus		Chimalliviridae	KX397370	Erwinia phage Machina	dsDNA
Meadowvirus		Chimalliviridae	MZ501267	Erwinia phage AH04	dsDNA
Miamivirus		Chimalliviridae	MT701590	Klebsiella phage Miami	dsDNA
Miltoncavirus		Chimalliviridae	HQ630627	Pseudomonas phage PhiPA3	dsDNA
Moabitevirus		Chimalliviridae	MK994515	Serratia phage Moabite	dsDNA
Moabitevirus		Chimalliviridae	MF285618	Serratia phage vB_SmaM_ 2050HW	dsDNA
Nimduovirus		Chimalliviridae	MN642089	Klebsiella phage N1M2	dsDNA
Noxifervirus		Chimalliviridae	MF063068	Pseudomonas phage Noxifer	dsDNA
Pawinskivirus		Chimalliviridae	MN103543	Pseudomonas phage vB_PaeM_PS119XW	dsDNA
Petsuvirus		Chimalliviridae	MK689364	Edwardsiella phage pEt-SU	dsDNA
Phabiovirus		Chimalliviridae	MF042360	Pseudomonas phage Phabio	dsDNA
Phikzvirus		Chimalliviridae	JX233784	Pseudomonas phage PA7	dsDNA
Phikzvirus		Chimalliviridae	AF399011	Pseudomonas phage phiKZ	dsDNA
Ripduovirus		Chimalliviridae	AP017924	Ralstonia phage RP12	dsDNA
Risingsunvirus		Chimalliviridae	MF459646	Erwinia phage vB_EamM_RisingSun	dsDNA
Seoulvirus		Chimalliviridae	JN641803	Salmonella phage SPN3US	dsDNA
Serwervirus		Chimalliviridae	EU197055	Pseudomonas phage 201phi2-1	dsDNA
Siatvirus		Chimalliviridae	MN871446	Klebsiella phage KpLz-2_45	dsDNA
Tepukevirus		Chimalliviridae	MK552327	Pseudomonas phage Psa21	dsDNA
Wellingtonvirus		Chimalliviridae	MH426724	Erwinia phage Wellington	dsDNA
Lomovskayavirus		Colingsworthviridae	AJ550940	Streptomyces phage phiBT1	dsDNA
Lomovskayavirus		Colingsworthviridae	AJ006589	Streptomyces phage phi-C31	dsDNA
Sebastisaurusvirus		Colingsworthviridae	MK686069	Streptomyces phage Heather	dsDNA
Sebastisaurusvirus		Colingsworthviridae	MK686068	Streptomyces phage RemusLoopin	dsDNA
Shadyvirus		Colingsworthviridae	MT701596	Streptomyces phage Shady	dsDNA
Shaekyvirus		Colingsworthviridae	MT701595	Streptomyces phage Shaeky	dsDNA
Sycamorevirus		Colingsworthviridae	MT701593	Streptomyces phage Sycamore	dsDNA
Tigunavirus		Colingsworthviridae	JX182372	Streptomyces phage TG1	dsDNA
Vashvirus		Colingsworthviridae	MK450426	Streptomyces phage Euratis	dsDNA
Vashvirus		Colingsworthviridae	MK450431	Streptomyces phage Lilbooboo	dsDNA
Firehammervirus		Connertonviridae	MW074125	Campylobacter phage CJLB-12	dsDNA
Firehammervirus		Connertonviridae	MW074126	Campylobacter phage CJLB-14	dsDNA
Fletchervirus		Connertonviridae	MW057933	Campylobacter phage CJLB-7	dsDNA
Fletchervirus		Connertonviridae	MW074124	Campylobacter phage CJLB-10	dsDNA
Cetovirus	Ermolyevavirinae	Demerecviridae	MG649966	Vibrio phage Ceto	dsDNA
Jesfedecavirus	Ermolyevavirinae	Demerecviridae	KY883654	Vibrio phage JSF10	dsDNA
Jesfedecavirus	Ermolyevavirinae	Demerecviridae	KY883655	Vibrio phage JSF12	dsDNA
Thalassavirus	Ermolyevavirinae	Demerecviridae	MK796244	Vibrio phage Achelous	dsDNA
Thalassavirus	Ermolyevavirinae	Demerecviridae	MT460514	Vibrio phage AG74	dsDNA
Vipunavirus	Ermolyevavirinae	Demerecviridae	JQ340389	Vibrio phage pVP-1	dsDNA
Epseptimavirus	Markadamsvirinae	Demerecviridae	KU927497	Salmonella phage 100268_sal2	dsDNA
Epseptimavirus	Markadamsvirinae	Demerecviridae	KX017521	Salmonella phage 118970_sal2	dsDNA
Kononvirus	Markadamsvirinae	Demerecviridae	PP579741	Enterobacter siphophage KKP_3711	dsDNA
Tequintavirus	Markadamsvirinae	Demerecviridae	MW149273	Salmonella phage vB_SalS_ABTNLsp4	dsDNA
Tequintavirus	Markadamsvirinae	Demerecviridae	MW149275	Salmonella phage vB_SalS_ABTNLsp9	dsDNA
Hongcheonvirus	Mccorquodalevirinae	Demerecviridae	MF979564	Pectobacterium phage DU_PP_V	dsDNA
Myunavirus	Mccorquodalevirinae	Demerecviridae	JX195166	Pectobacterium phage My1	dsDNA
Keyvirus		Demerecviridae	MK770119	Pantoea phage vB_PagS_AAS21	dsDNA
Keyvirus		Demerecviridae	MZ616364	Erwinia phage Key	dsDNA
Novosibvirus		Demerecviridae	MG030347	Proteus phage PM135	dsDNA
Novosibvirus		Demerecviridae	MH830339	Proteus phage Stubb	dsDNA
Pogseptimavirus		Demerecviridae	MH645904	Vibrio phage vB_VpS_PG07	dsDNA
Pogseptimavirus		Demerecviridae	MH925094	Vibrio phage VspSw_1	dsDNA
Priunavirus		Demerecviridae	KY363465	Providencia phage vB_PreS_PR1	dsDNA
Priunavirus		Demerecviridae	MW057857	Providencia phage PSTCR5	dsDNA
Shenzhenvirus		Demerecviridae	MG676224	Aeromonas phage AhSzq-1	dsDNA
Shenzhenvirus		Demerecviridae	MG676225	Aeromonas phage AhSzw-1	dsDNA
Sugarlandvirus		Demerecviridae	MN434094	Klebsiella phage AmPh_EK80	dsDNA
Sugarlandvirus		Demerecviridae	LR881109	Klebsiella phage vB_KppS-Anoxic	dsDNA
Augustepiccardvirus	Braunvirinae	Drexlerviridae	MZ501051	Escherichia phage AugustePiccard	dsDNA
Christensenvirus	Braunvirinae	Drexlerviridae	MK372342	Escherichia phage vB_EcoS_IME542	dsDNA
Guelphvirus	Braunvirinae	Drexlerviridae	JN986845	Escherichia phage vB_EcoS_ACG-M12	dsDNA
Guelphvirus	Braunvirinae	Drexlerviridae	ON081052	Escherichia phage vB_EcoS_SCS31	dsDNA
Inhoffenstrassevirus	Braunvirinae	Drexlerviridae	MK373793	Escherichia phage vB_EcoS_MM01	dsDNA
Julespiccardvirus	Braunvirinae	Drexlerviridae	MZ501087	Escherichia phage JulesPiccard	dsDNA
Loudonvirus	Braunvirinae	Drexlerviridae	MG050172	Escherichia phage DTL	dsDNA
Loudonvirus	Braunvirinae	Drexlerviridae	KY398841	Escherichia phage vB_Ecos_CEB_EC3a	dsDNA
Rtpvirus	Braunvirinae	Drexlerviridae	KX130960	Escherichia phage vB_EcoS-IME253	dsDNA
Rtpvirus	Braunvirinae	Drexlerviridae	AM156909	Escherichia phage Rtp	dsDNA
Veterinaerplatzvirus	Braunvirinae	Drexlerviridae	MT682706	Escherichia phage vB_EcoS_FP	dsDNA
Veterinaerplatzvirus	Braunvirinae	Drexlerviridae	MZ501080	Escherichia phage JeanPiccard strain Bas02	dsDNA
Eastlansingvirus	Rogunavirinae	Drexlerviridae	MF158039	Shigella phage Sf12	dsDNA
Lindendrivevirus	Rogunavirinae	Drexlerviridae	JF770475	Escherichia phage phiEB49	dsDNA
Rogunavirus	Rogunavirinae	Drexlerviridae	KF771237	Escherichia phage vB_EcoS_AHP42	dsDNA
Rogunavirus	Rogunavirinae	Drexlerviridae	KF771238	Escherichia phage vB_EcoS_AHS24	dsDNA
Sadiyavirus	Rogunavirinae	Drexlerviridae	OL539467	Escherichia phage vB_EcoD_Sadiya	dsDNA
Wilsonroadvirus	Rogunavirinae	Drexlerviridae	MF158042	Shigella phage Sd1	dsDNA
Baihuvirus	Tempevirinae	Drexlerviridae	MN090155	Escherichia phage vB_EcoS_PHB17	dsDNA
Changchunvirus	Tempevirinae	Drexlerviridae	MZ501099	Escherichia phage PaulSarasin strain Bas09	dsDNA
Changchunvirus	Tempevirinae	Drexlerviridae	MK778457	Escherichia phage vB_EcoS_W011D	dsDNA
Hanrivervirus	Tempevirinae	Drexlerviridae	MN850591	Escherichia phage aalborv	dsDNA
Hanrivervirus	Tempevirinae	Drexlerviridae	MN850572	Escherichia phage aaroes	dsDNA
Henuseptimavirus	Tempevirinae	Drexlerviridae	MN019128	Escherichia phage Henu7	dsDNA
Henuseptimavirus	Tempevirinae	Drexlerviridae	MZ501077	Escherichia phage IsaakIselin	dsDNA
Jahatvirus	Tempevirinae	Drexlerviridae	MK552105	Escherichia phage Jahat_MG145	dsDNA
Peekayseptimavirus	Tempevirinae	Drexlerviridae	OM317910	Klebsiella phage P-K7R	dsDNA
Pocisvirus	Tempevirinae	Drexlerviridae	MW689258	Hafnia phage Pocis76	dsDNA
Tlsvirus	Tempevirinae	Drexlerviridae	OL539462	Citrobacter phage vB_CfrD_BlueShadow	dsDNA
Tlsvirus	Tempevirinae	Drexlerviridae	OL539443	Citrobacter phage vB_CfrD_Brooksby	dsDNA
Warwickvirus	Tempevirinae	Drexlerviridae	MN850620	Escherichia phage atuna	dsDNA
Warwickvirus	Tempevirinae	Drexlerviridae	MN850582	Escherichia phage ityhuna	dsDNA
Badaguanvirus	Tunavirinae	Drexlerviridae	MH051918	Escherichia phage vB_EcoS_IME347	dsDNA
Sertoctavirus	Tunavirinae	Drexlerviridae	MZ501053	Escherichia phage BrunoManser	dsDNA
Sertoctavirus	Tunavirinae	Drexlerviridae	MF996376	Escherichia phage SRT8	dsDNA
Tunavirus	Tunavirinae	Drexlerviridae	JX912252	Escherichia phage ADB-2	dsDNA
Tunavirus	Tunavirinae	Drexlerviridae	MH285980	Escherichia phage Eco_BIFF	dsDNA
Eclunavirus		Drexlerviridae	MG732930	Enterobacter phage Ec_L1	dsDNA
Hicfunavirus		Drexlerviridae	MN545971	Citrobacter phage HCF1	dsDNA
Jhansiroadvirus		Drexlerviridae	MT360682	Vibrio phage VC1	dsDNA
Kyungwonvirus		Drexlerviridae	MH845412	Cronobacter phage CS01	dsDNA
Kyungwonvirus		Drexlerviridae	JF912400	Cronobacter phage ESP2949-1	dsDNA
Nouzillyvirus		Drexlerviridae	KY619305	Escherichia phage vB_EcoS_ESCO41	dsDNA
Sauletekiovirus		Drexlerviridae	MK095606	Pantoea phage vB_PagS_AAS23	dsDNA
Vilniusvirus		Drexlerviridae	KX130668	Escherichia phage vB_EcoS_NBD2	dsDNA
Webervirus		Drexlerviridae	OL865411	Klebsiella phage vB_1086	dsDNA
Webervirus		Drexlerviridae	MW042802	Klebsiella phage 066039	dsDNA
Ingelinevirus		Duneviridae	MT732435	Cellulophaga phage Ingeline_1	dsDNA
Labanvirus		Duneviridae	MN812211	Flavobacterium phage vB_FspS_laban6-1	dsDNA
Unahavirus		Duneviridae	KU599889	Flavobacterium phage 1H	dsDNA
Unahavirus		Duneviridae	KU599888	Flavobacterium phage 23T	dsDNA
Anathvirus		Ehrlichviridae	MG983742	Bacillus phage Anath	dsDNA
Andromedavirus		Ehrlichviridae	KC330684	Bacillus phage Andromeda	dsDNA
Andromedavirus		Ehrlichviridae	KF669648	Bacillus phage Blastoid	dsDNA
Chennaivirus		Ehrlichviridae	OR670591	Staphylococcus phage MVC_VPHSA1	dsDNA
Dazunavirus		Ehrlichviridae	OR338916	Bacillus phage DZ1	dsDNA
Gettysburgvirus		Ehrlichviridae	MN176220	Bacillus phage 019DV002	dsDNA
Gettysburgvirus		Ehrlichviridae	MN176230	Bacillus phage 056SW001B	dsDNA
Nairobivirus		Ehrlichviridae	MH884513	Bacillus phage vB_BpsS-36	dsDNA
Suttonboningtonvirus		Ehrlichviridae	MT700412	Bacillus phage 1_ICo-2020	dsDNA
Chronisvirus	Maevirinae	Felixviridae	MN013086	Klebsiella phage vB_Kpn_Chronis	dsDNA
Certevirus		Felixviridae	OL396571	Pantoea phage PdC23	dsDNA
Nakavirus		Felixviridae	PP934563	Klebsiella phage RothC	dsDNA
Freyavirus		Forsetiviridae	MT732458	Polaribacter phage Danklef_1	dsDNA
Freyavirus		Forsetiviridae	MT732463	Polaribacter phage Freya_1	dsDNA
Jamesmcgillvirus		Fredfastierviridae	DQ163914	Pseudomonas phage 119X	dsDNA
Jamesmcgillvirus		Fredfastierviridae	KU884563	Pseudomonas phage PaMx41	dsDNA
Aquaneticvirus		Grimontviridae	OP491958	Aeromonas phage APT65	dsDNA
Crifsvirus		Grimontviridae	MW343794	Cronobacter phage A24	dsDNA
Crifsvirus		Grimontviridae	JN882286	Cronobacter phage vB_CsaP_GAP52	dsDNA
Dalianvirus		Grimontviridae	MG603697	Vibrio phage Vp_R1	dsDNA
Lahexavirus		Grimontviridae	MK838112	Aeromonas phage LAh_6	dsDNA
Lahexavirus		Grimontviridae	MK838114	Aeromonas phage LAh_8	dsDNA
Libingvirus		Grimontviridae	OL799327	Aeromonas phage BUCT695	dsDNA
Lundtoftevirus		Grimontviridae	OQ829281	IncN phage Lu221	dsDNA
Moazamivirus		Grimontviridae	HM997019	Salmonella phage 7-11	dsDNA
Moazamivirus		Grimontviridae	MG873442	Salmonella phage SE131	dsDNA
Privateervirus		Grimontviridae	MT740244	Proteus phage 3H10_20	dsDNA
Privateervirus		Grimontviridae	MT664722	Proteus phage Vb_PmiP-P59	dsDNA
Capvunavirus	Denniswatsonvirinae	Guelinviridae	HM640230	Clostridium phage CpV1	dsDNA
Gregsiragusavirus	Denniswatsonvirinae	Guelinviridae	MH999279	Clostridium phage CPD2	dsDNA
Gregsiragusavirus	Denniswatsonvirinae	Guelinviridae	OQ737697	Clostridium phage cpp	dsDNA
Brucesealvirus		Guelinviridae	JQ729990	Clostridium phage phiCP7R	dsDNA
Brucesealvirus		Guelinviridae	MZ401005	Clostridium phage CPQ3	dsDNA
Hzauvirus		Guelinviridae	OM638104	Clostridium phage LPCPA6	dsDNA
Susfortunavirus		Guelinviridae	OP256049	Clostridium phage Dcp1	dsDNA
Susfortunavirus		Guelinviridae	OP894055	Clostridium phage vB_CP_gdyz_P5	dsDNA
Leefvirus		Helgolandviridae	MT732473	Polaribacter phage Leef_1	dsDNA
Agatevirus	Bastillevirinae	Herelleviridae	JX238501	Bacillus phage phiAGATE	dsDNA
Agatevirus	Bastillevirinae	Herelleviridae	KM051843	Bacillus phage Bobb	dsDNA
Bastillevirus	Bastillevirinae	Herelleviridae	JF966203	Bacillus phage Bastille	dsDNA
Bastillevirus	Bastillevirinae	Herelleviridae	KJ489397	Bacillus phage CAM003	dsDNA
Bequatrovirus	Bastillevirinae	Herelleviridae	KT307976	Bacillus phage AvesoBmore	dsDNA
Bequatrovirus	Bastillevirinae	Herelleviridae	JN790865	Bacillus phage B4	dsDNA
Caeruleovirus	Bastillevirinae	Herelleviridae	JX094431	Bacillus phage vB_BceM_Bc431v3	dsDNA
Caeruleovirus	Bastillevirinae	Herelleviridae	KJ451625	Bacillus phage Bcp1	dsDNA
Eldridgevirus	Bastillevirinae	Herelleviridae	KU253712	Bacillus phage Eldridge	dsDNA
Goettingenvirus	Bastillevirinae	Herelleviridae	MN043729	Bacillus phage vB_BmeM-Goe8	dsDNA
Grisebachstrassevirus	Bastillevirinae	Herelleviridae	KY368640	Bacillus phage vB_BsuM-Goe3	dsDNA
Jeonjuvirus	Bastillevirinae	Herelleviridae	MH606185	Bacillus phage BSP38	dsDNA
Matervirus	Bastillevirinae	Herelleviridae	KM236245	Bacillus phage Mater	dsDNA
Moonbeamvirus	Bastillevirinae	Herelleviridae	KM236246	Bacillus phage Moonbeam	dsDNA
Nitunavirus	Bastillevirinae	Herelleviridae	KF669652	Bacillus phage Grass	dsDNA
Nitunavirus	Bastillevirinae	Herelleviridae	AP013029	Bacillus phage phiNIT1	dsDNA
Shalavirus	Bastillevirinae	Herelleviridae	KU640380	Bacillus phage Shbh1	dsDNA
Siophivirus	Bastillevirinae	Herelleviridae	KC699836	Bacillus phage SIOphi	dsDNA
Tsarbombavirus	Bastillevirinae	Herelleviridae	JN797797	Bacillus phage BCP78	dsDNA
Tsarbombavirus	Bastillevirinae	Herelleviridae	JN797798	Bacillus phage BCU4	dsDNA
Wphvirus	Bastillevirinae	Herelleviridae	JN654439	Bacillus phage BPS13	dsDNA
Wphvirus	Bastillevirinae	Herelleviridae	KC430106	Bacillus phage BPS10C	dsDNA
Kochikohdavirus	Brockvirinae	Herelleviridae	ON113169	Enterococcus phage vB_OCPT_Bob	dsDNA
Kochikohdavirus	Brockvirinae	Herelleviridae	ON113168	Enterococcus phage vB_OCPT_Car	dsDNA
Schiekvirus	Brockvirinae	Herelleviridae	CAJDKA010000002	Enterococcus phage 163	dsDNA
Schiekvirus	Brockvirinae	Herelleviridae	MT856905	Enterococcus phage vB_EfaM_A2	dsDNA
Pecentumvirus	Jasinskavirinae	Herelleviridae	DQ003638	Listeria phage A511	dsDNA
Pecentumvirus	Jasinskavirinae	Herelleviridae	JQ797329	Listeria phage vB_LmoM_AG20	dsDNA
Okubovirus	Spounavirinae	Herelleviridae	KF669649	Bacillus phage CampHawk	dsDNA
Okubovirus	Spounavirinae	Herelleviridae	FJ230960	Bacillus phage SPO1	dsDNA
Siminovitchvirus	Spounavirinae	Herelleviridae	KF554508	Bacillus phage CP-51	dsDNA
Siminovitchvirus	Spounavirinae	Herelleviridae	KC595512	Bacillus phage JL	dsDNA
Baoshanvirus	Twortvirinae	Herelleviridae	MH078572	Staphylococcus phage phiSA_BS1	dsDNA
Baoshanvirus	Twortvirinae	Herelleviridae	MH028956	Staphylococcus phage phiSA_BS2	dsDNA
Kayvirus	Twortvirinae	Herelleviridae	AY954969	Staphylococcus phage G1	dsDNA
Kayvirus	Twortvirinae	Herelleviridae	JX080302	Staphylococcus phage 676Z	dsDNA
Sciuriunavirus	Twortvirinae	Herelleviridae	KX171212	Staphylococcus phage vB_SscM-1	dsDNA
Sepunavirus	Twortvirinae	Herelleviridae	KP027447	Staphylococcus phage vB_SepM_ phiIPLA-C1C	dsDNA
Sepunavirus	Twortvirinae	Herelleviridae	KF021268	Staphylococcus phage phiIBB-SEP1	dsDNA
Silviavirus	Twortvirinae	Herelleviridae	JX846612	Staphylococcus phage vB_SauM_Remus	dsDNA
Silviavirus	Twortvirinae	Herelleviridae	JX846613	Staphylococcus phage vB_SauM_Romulus	dsDNA
Twortvirus	Twortvirinae	Herelleviridae	AY954970	Staphylococcus phage Twort	dsDNA
Elpedvirus		Herelleviridae	MF787246	Lactobacillus phage LpeD	dsDNA
Harbinvirus		Herelleviridae	MG765277	Lactobacillus phage Bacchae	dsDNA
Harbinvirus		Herelleviridae	MH809531	Lactobacillus phage Bromius	dsDNA
Hopescreekvirus		Herelleviridae	KP054477	Lactobacillus phage LfeInf	dsDNA
Klumppvirus		Herelleviridae	HM242243	Brochothrix phage A9	dsDNA
Mooreparkvirus		Herelleviridae	FJ822135	Lactobacillus phage Lb338-1	dsDNA
Salchichonvirus		Herelleviridae	AY682195	Lactobacillus phage LP65	dsDNA
Tybeckvirus		Herelleviridae	MK504446	Lactobacillus phage SAC12B	dsDNA
Tybeckvirus		Herelleviridae	MK504443	Lactobacillus phage 521B	dsDNA
Watanabevirus		Herelleviridae	MK504444	Lactobacillus phage 3-521	dsDNA
Ankaravirus		Hirszfeldviridae	OR045356	Acinetobacter phage Ab69	dsDNA
Beijingvirus		Hirszfeldviridae	MH853787	Acinetobacter phage vB_AbaM_IME284	dsDNA
Brutusvirus		Hirszfeldviridae	ON036882	Acinetobacter phage Brutus	dsDNA
Burnvirus		Hirszfeldviridae	PV437273	Acinetobacter phage vB_AbaM_A72	dsDNA
Burnvirus		Hirszfeldviridae	PV471308	Acinetobacter phage HN_Aba_01	dsDNA
Cairovirus		Hirszfeldviridae	PV468792	Acinetobacter phage RM_A1	dsDNA
Cairovirus		Hirszfeldviridae	PV536160	Acinetobacter phage RM_A2	dsDNA
Chinavirus		Hirszfeldviridae	MZ593728	Acinetobacter phage BUCT628	dsDNA
Ganjingzivirus		Hirszfeldviridae	OP585104	Acinetobacter phage vB_AbaM_BP10	dsDNA
Guangzhouvirus		Hirszfeldviridae	OR526523	Acinetobacter phage vB_AbaM_AB3P2	dsDNA
Guizhouvirus		Hirszfeldviridae	MZ618622	Acinetobacter phage Abp95	dsDNA
Helsinkivirus		Hirszfeldviridae	PQ516282	Acinetobacter phage vB_AQ1	dsDNA
Helsinkivirus		Hirszfeldviridae	PP171454	Acinetobacter phage vB_AbaM_fThrA	dsDNA
Kenyavirus		Hirszfeldviridae	PP841127	Acinetobacter phage vB_Ab_01_KEN_01	dsDNA
Miklukhovirus		Hirszfeldviridae	OM471864	Acinetobacter phage Cato	dsDNA
Nosocomialisvirus		Hirszfeldviridae	PQ227708	Acinetobacter phage vB_Aba_QH4	dsDNA
Nosocomialisvirus		Hirszfeldviridae	OQ547903	Acinetobacter phage XC1	dsDNA
Obolenskvirus		Hirszfeldviridae	OR180310	Acinetobacter phage A832.1	dsDNA
Obolenskvirus		Hirszfeldviridae	JX976549	Acinetobacter phage vB_AbaM-IME-AB2	dsDNA
Pakistanvirus		Hirszfeldviridae	OR665530	Acinetobacter phage SR	dsDNA
Pittiivirus		Hirszfeldviridae	OR791279	Acinetobacter phage vB_ApiM_IME-Ap7	dsDNA
Polandvirus		Hirszfeldviridae	PV067692	Acinetobacter phage Acba_21	dsDNA
Polandvirus		Hirszfeldviridae	PP355976	Acinetobacter phage vB_AbaM_YNAF	dsDNA
Scipiovirus		Hirszfeldviridae	ON036883	Acinetobacter phage Scipio	dsDNA
