Genus	Subfamily	Family	Accession	Phage	Genome
Pettyvirus	Beijerinckvirinae	Autoscriptoviridae	KF669656	Acinetobacter phage Petty	dsDNA
Actinidiaevirus	Corkvirinae	Autoscriptoviridae	LC776701	Pseudomonas phage Ep4	dsDNA
Kantovirus	Corkvirinae	Autoscriptoviridae	KU310944	Pseudomonas phage YMC11/06/C171_PPU_BP	dsDNA
Kotilavirus	Corkvirinae	Autoscriptoviridae	MN270887	Pectobacterium phage CX5	dsDNA
Kotilavirus	Corkvirinae	Autoscriptoviridae	MN271656	Pectobacterium phage MA2	dsDNA
Phimunavirus	Corkvirinae	Autoscriptoviridae	KY953156	Pectobacterium phage vB_PatP_CB5	dsDNA
Phimunavirus	Corkvirinae	Autoscriptoviridae	MK095193	Pectobacterium phage Clickz	dsDNA
Stompvirus	Corkvirinae	Autoscriptoviridae	KT240186	Dickeya phage BF25/12	dsDNA
Kirikabuvirus	Krylovirinae	Autoscriptoviridae	MG845683	Pseudomonas phage phiNV3	dsDNA
Mojovirus	Krylovirinae	Autoscriptoviridae	MT104468	Pseudomonas phage MR5	dsDNA
Phikmvvirus	Krylovirinae	Autoscriptoviridae	LN610580	Pseudomonas phage vB_PaeP_PAO1_1-15pyo	dsDNA
Phikmvvirus	Krylovirinae	Autoscriptoviridae	MZ553931	Pseudomonas phage vB_PaeA_55_1W	dsDNA
Torinorumvirus	Krylovirinae	Autoscriptoviridae	MT354570	Pseudomonas phage phiB1_1	dsDNA
Bucovirus	Slopekvirinae	Autoscriptoviridae	MK562503	Shigella phage_Buco	dsDNA
Cepavirus	Slopekvirinae	Autoscriptoviridae	OQ921331	Escherichia phage vB_EcoP_PAS7	dsDNA
Drulisvirus	Slopekvirinae	Autoscriptoviridae	MF612071	Klebsiella phage AltoGao	dsDNA
Drulisvirus	Slopekvirinae	Autoscriptoviridae	OL979478	Klebsiella phage Kpn BHU1	dsDNA
Kakivirus	Slopekvirinae	Autoscriptoviridae	MK387869	Providencia phage vB_PstP_PS3	dsDNA
Kakivirus	Slopekvirinae	Autoscriptoviridae	MW358930	Providencia phage PSTRCR_114	dsDNA
Koutsourovirus	Slopekvirinae	Autoscriptoviridae	OQ884031	Enterobacter phage SDFMU_EhYP	dsDNA
Koutsourovirus	Slopekvirinae	Autoscriptoviridae	JQ267518	Enterobacter phage phiKDA1	dsDNA
Limelightvirus	Slopekvirinae	Autoscriptoviridae	FR687252	Pantoea phage LIMElight	dsDNA
Micantvirus	Slopekvirinae	Autoscriptoviridae	OM513680	Erwinia phage Loshitsa2	dsDNA
Micantvirus	Slopekvirinae	Autoscriptoviridae	OM513679	Erwinia phage Micant	dsDNA
Novosibovirus	Slopekvirinae	Autoscriptoviridae	OL416096	Proteus phage 309	dsDNA
Novosibovirus	Slopekvirinae	Autoscriptoviridae	KF319020	Proteus phage PM16	dsDNA
Peggyvirus	Slopekvirinae	Autoscriptoviridae	PV796109	Cronobacter phage Peggy	dsDNA
Zoomievirus	Slopekvirinae	Autoscriptoviridae	MZ333135	Erwinia phage Zoomie	dsDNA
Bonnellvirus	Stentvirinae	Autoscriptoviridae	MN850568	Escherichia phage altidsur	dsDNA
Bonnellvirus	Stentvirinae	Autoscriptoviridae	MN850583	Escherichia phage glasur	dsDNA
Waewaevirus	Stentvirinae	Autoscriptoviridae	FR751545	Pantoea phage Limezero	dsDNA
Axyvirus		Autoscriptoviridae	MK962628	Achromobacter phage vB_AxyP_19-32_Axy09	dsDNA
