	Genome	Realm	Kingdom	Phylum	Class	Order	Family	Subfamily	Genus	Species	Full_taxonomy	Message
207	BMCPR_005346	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Drexlerviridae	Not Defined Yet	Webervirus	Webervirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Drexlerviridae;sf__Not Defined Yet;g__Webervirus;s__Webervirus new_name	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
208	BMCPR_005224	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	Query is a new genus and species. You could try running again with if you larger distance
209	RLG_00508B	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	No hits were found with the default settings
210	BMCPR_005351	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Drexlerviridae	Not Defined Yet	Webervirus	Webervirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Drexlerviridae;sf__Not Defined Yet;g__Webervirus;s__Webervirus new_name	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
211	AKEP_030	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	No hits were found with the default settings
212	RLG_00458	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	New_genus	New_species	r__Unknown;k__Unknown;p__Unknown;c__Unknown;o__Unknown;f__Unknown;sf__Unknown;g__New_genus;s__New_species	No hits were found with the default settings
213	RLG_00634	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
214	RLG_00592	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus new_name	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
215	RLG_00422B	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Not Defined Yet	Jondennisvirinae	Septimatrevirus	Septimatrevirus kakheti25	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Not Defined Yet;sf__Jondennisvirinae;g__Septimatrevirus;s__Septimatrevirus kakheti25	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
216	BMCPR_005224B	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Not Defined Yet	Schitoviridae	Enquatrovirinae	Moovirus	Moovirus new_name	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Not Defined Yet;f__Schitoviridae;sf__Enquatrovirinae;g__Moovirus;s__Moovirus new_name	Current ICTV taxonomy and the clustering on genomic similarity algorithm output appear to be consistent at the genus level
