Genus	Median Genome Length (KB)	Min Genome Length (KB)	Max Genome Length (KB)	Median molGC (%)	Min molGC (%)	Max molGC (%)	Sample Size
Warwickvirus	51.0	48	52	45.0	44	45	17
Badaguanvirus	50.0	50	50	50.0	50	50	1
Sertoctavirus	49.5	49	50	48.0	48	48	2
Tunavirus	50.0	49	51	46.0	45	46	24
Eclunavirus	52.0	52	52	48.0	48	48	1
Hicfunavirus	46.0	46	46	45.0	45	45	1
Jhansiroadvirus	50.0	50	50	45.0	45	45	1
Kyungwonvirus	48.5	48	49	50.0	50	50	2
Nouzillyvirus	51.0	51	51	46.0	46	46	1
Sauletekiovirus	51.0	51	51	48.0	48	48	1
Vilniusvirus	52.0	52	52	50.0	50	50	1
Webervirus	50.0	38	54	51.0	48	52	100
Ingelinevirus	43.0	43	43	32.0	32	32	1
Labanvirus	43.0	43	43	31.0	31	31	1
Unahavirus	45.0	39	47	31.5	31	32	4
Anathvirus	52.0	52	52	41.0	41	41	1
Andromedavirus	49.0	49	50	42.0	41	42	11
Chennaivirus	51.0	51	51	41.0	41	41	1
Dazunavirus	50.0	50	50	42.0	42	42	1
Gettysburgvirus	53.0	53	53	43.0	42	43	3
Nairobivirus	50.0	50	50	41.0	41	41	1
Suttonboningtonvirus	51.0	51	51	42.0	42	42	1
Chronisvirus	46.0	46	46	52.0	52	52	1
Certevirus	45.0	45	45	50.0	50	50	1
Nakavirus	46.0	46	46	53.0	53	53	1
Freyavirus	45.5	44	47	29.0	29	29	2
Jamesmcgillvirus	43.0	43	43	45.0	45	45	2
Trabzonvirus	85.0	85	85	39.0	39	39	1
Crifsvirus	76.0	75	77	44.0	44	44	2
Dalianvirus	112.0	112	112	40.0	40	40	1
Lahexavirus	99.5	97	103	42.0	42	42	4
Libingvirus	86.0	86	86	42.0	42	42	1
Lundtoftevirus	76.0	76	76	44.0	44	44	1
Moazamivirus	90.0	90	90	44.0	44	44	2
Privateervirus	90.5	90	92	35.0	35	35	4
Capvunavirus	17.0	17	17	31.0	31	31	1
Gregsiragusavirus	18.5	18	20	28.0	28	28	6
Brucesealvirus	18.0	18	18	34.5	33	35	6
Hzauvirus	19.0	19	19	31.0	31	31	1
Susfortunavirus	19.0	19	19	29.0	28	29	3
Leefvirus	38.0	38	38	30.0	30	30	1
Agatevirus	151.0	150	160	41.0	41	41	4
Bastillevirus	160.0	154	161	38.0	38	38	4
Bequatrovirus	163.0	163	167	38.0	38	38	7
Caeruleovirus	159.0	153	165	40.0	39	40	6
Eldridgevirus	166.0	166	166	40.0	40	40	1
Goettingenvirus	162.0	162	162	39.0	39	39	1
Grisebachstrassevirus	156.0	156	156	42.0	42	42	1
Jeonjuvirus	153.0	153	153	42.0	42	42	1
Matervirus	164.0	164	164	39.0	39	39	1
Moonbeamvirus	161.0	161	161	40.0	40	40	1
Nitunavirus	156.0	152	157	42.0	42	42	3
Shalavirus	138.0	138	138	36.0	36	36	1
Siophivirus	147.0	147	147	39.0	39	39	1
Tsarbombavirus	156.0	154	162	40.0	40	40	3
Wphvirus	158.5	157	162	39.0	36	39	6
Kochikohdavirus	142.0	131	147	36.0	36	36	13
Schiekvirus	151.0	145	157	37.0	37	37	19
Pecentumvirus	135.5	131	138	36.0	36	36	14
Okubovirus	139.5	133	146	40.0	40	40	2
Siminovitchvirus	139.0	138	139	41.0	41	41	3
Baoshanvirus	146.0	143	149	30.0	30	30	2
Kayvirus	141.0	127	149	30.0	30	30	25
Sciuriunavirus	140.0	140	140	32.0	32	32	1
Sepunavirus	140.5	140	141	28.0	28	28	2
Silviavirus	134.5	131	136	30.0	30	30	4
Twortvirus	131.0	131	131	30.0	30	30	1
Elpedvirus	145.0	145	145	34.0	34	34	1
Harbinvirus	141.0	138	143	37.0	36	37	5
Hopescreekvirus	106.0	106	106	38.0	38	38	1
Klumppvirus	127.0	127	127	41.0	41	41	1
Mooreparkvirus	142.0	142	142	37.0	37	37	1
Salchichonvirus	132.0	132	132	37.0	37	37	1
Tybeckvirus	136.5	136	137	32.0	32	32	2
Watanabevirus	141.0	141	141	37.0	37	37	1
Obolenskvirus	45.0	43	46	38.0	37	38	41
Kozievirus	53.0	53	53	71.0	71	71	2
Margaeryvirus	56.0	56	56	70.0	70	70	2
Mementomorivirus	56.0	55	56	70.0	70	70	4
Fuzzbustervirus	55.0	55	55	68.0	68	68	1
Meganvirus	55.0	55	55	70.0	70	70	2
Metamorphoovirus	54.0	53	55	69.0	68	69	7
Quhwahvirus	53.0	53	54	69.0	69	69	9
Bajunvirus	207.0	207	207	66.0	66	66	1
Bertelyvirus	319.5	317	322	64.0	64	64	2
Colossusvirus	294.0	280	308	62.0	62	62	2
Kikimoravirus	317.5	313	322	63.0	63	63	2
Marchewkavirus	353.0	348	356	66.0	66	66	3
Poindextervirus	222.5	221	224	66.0	66	66	2
Shapirovirus	217.5	216	219	66.0	66	66	2
Cuauhnahuacvirus	207.5	207	208	41.0	41	41	2
Cafassovirus	87.0	86	88	68.0	68	68	4
Vanleevirus	85.0	85	85	68.0	68	68	1
Bcepfunavirus	72.0	72	72	56.0	56	56	1
Carpasinavirus	62.0	61	62	52.0	52	52	3
Gladiolivirus	68.0	68	68	55.0	55	55	1
Irusalimvirus	70.0	70	70	51.0	51	51	1
Kylevirus	73.0	73	73	49.0	49	49	1
Myosmarvirus	68.5	68	69	49.0	49	50	4
Pbunavirus	66.0	61	69	55.5	55	56	44
Plutovirus	68.0	68	68	58.0	58	58	1
Tabernariusvirus	67.0	67	67	52.0	52	52	1
Wifcevirus	68.0	67	72	46.0	46	46	10
Ludisvirus	49.0	49	49	49.0	49	49	1
Saclayvirus	103.0	100	108	37.0	37	38	11
Cepunavirus	20.0	20	20	39.0	39	39	1
Dabrowskivirus	120.0	120	120	40.0	40	40	1
Abidjanvirus	57.5	57	60	63.0	63	64	4
Bosavirus	64.0	63	64	67.0	65	68	6
Cinvestavvirus	59.0	59	59	68.0	68	68	1
Docaquintavirus	56.0	56	56	60.0	60	60	1
Donnerlittchenvirus	58.0	58	58	68.0	68	68	1
Elanorvirus	62.0	62	62	65.0	65	65	1
Epaquintavirus	64.0	64	64	62.0	62	62	1
Ghuizhouvirus	62.0	62	62	62.0	62	62	1
Mallosvirus	59.0	59	59	62.0	62	62	1
Pamexvirus	58.0	55	58	66.0	66	66	4
Xooduovirus	61.0	60	62	67.0	67	67	2
Vojvodinavirus	60.0	60	62	64.0	64	64	4
Yuavirus	61.5	59	62	64.0	64	65	6
Keylargovirus	64.0	64	64	62.0	62	62	1
Mollyvirus	124.5	124	125	36.0	36	36	2
Kuravirus	77.0	69	79	42.0	42	42	22
Nieuwekanaalvirus	76.5	76	77	42.5	42	43	2
Suseptimavirus	77.0	76	79	42.0	42	42	7
Noahvirus	75.0	75	75	47.0	47	47	1
Dewhirstvirus	48.0	48	50	52.0	52	52	4
Excelsiorvirus	42.0	42	42	50.0	50	50	1
Haasevirus	44.0	44	47	50.0	50	50	5
Nixvirus	42.0	42	42	49.0	49	49	1
Schifferlevirus	44.5	43	45	50.0	50	51	4
Bonaevitaevirus	17.0	17	17	68.0	68	68	1
Efekovirus	17.0	17	17	69.0	69	69	1
Paopuvirus	17.0	17	18	69.0	68	69	9
Bacelvirus	73.0	73	73	33.0	33	33	1
Baltivirus	72.0	71	76	33.0	33	33	3
Gundelvirus	79.0	79	79	30.0	30	30	1
Aptresvirus	37.0	36	38	64.0	64	64	2
Aresaunavirus	39.0	39	39	65.0	65	65	2
Arsenicumvirus	40.0	40	40	47.0	47	47	1
Arsyunavirus	40.0	40	40	65.0	65	65	1
Baylorvirus	36.0	35	37	42.0	42	42	2
Bielevirus	33.0	32	34	61.5	61	62	2
Bracchivirus	33.0	33	33	39.0	39	39	1
Canoevirus	32.0	32	32	45.0	45	45	1
Catalunyavirus	35.0	35	35	42.0	42	42	1
Citexvirus	36.0	35	37	62.0	62	63	3
Dagavirus	39.0	39	39	54.0	54	54	1
Duodecimduovirus	37.0	37	37	65.0	65	65	1
Duonihilunusvirus	30.0	30	33	51.0	50	51	3
Eganvirus	30.0	30	31	53.0	53	54	5
Elveevirus	33.5	33	34	50.5	50	51	2
Entnonagintavirus	30.0	30	30	56.0	56	56	1
Evevirus	29.0	29	29	51.0	51	51	1
Felsduovirus	35.0	34	35	51.0	51	52	3
Firavirus	36.0	36	36	46.0	46	46	1
Gegavirus	34.0	34	34	53.0	53	53	1
Gegevirus	40.0	40	40	53.0	53	53	1
Gemsvirus	33.0	33	33	52.0	52	52	1
Graikaemvirus	33.0	33	33	49.0	49	49	1
Hpunavirus	32.0	32	32	40.0	40	40	1
Irrigatiovirus	30.0	30	30	54.0	54	54	1
Irtavirus	32.0	31	33	41.5	41	42	2
Kapieceevirus	32.0	32	32	52.0	52	52	1
Kayeltresvirus	39.0	38	41	64.0	63	65	5
Kisquattuordecimvirus	32.0	32	33	62.0	61	62	3
Kisquinquevirus	37.0	37	37	64.5	64	65	2
Longwoodvirus	33.0	33	33	49.0	49	49	1
Maltschvirus	36.0	36	36	42.0	42	42	1
Nampongvirus	35.0	35	35	63.0	63	63	1
Novemvirus	32.0	32	32	52.0	52	52	1
Peduovirus	32.0	29	34	52.0	50	53	30
Phitrevirus	33.0	33	33	64.0	64	64	1
Piscesmortuivirus	37.0	37	37	58.0	58	58	1
Playavirus	33.0	33	33	51.0	51	51	1
Quadragintavirus	31.0	31	31	51.0	51	51	3
Reginaelenavirus	35.0	35	35	54.0	54	54	1
Reipivirus	38.0	38	38	50.0	50	50	1
Senquatrovirus	34.0	34	34	53.0	53	53	1
Seongnamvirus	29.0	29	29	55.0	55	55	1
Simpcentumvirus	34.0	34	34	65.0	65	65	1
Tigrvirus	37.0	36	38	65.0	64	65	4
Tresduoquattuorvirus	29.0	29	29	50.0	50	50	1
Valbvirus	37.0	37	37	43.0	43	43	1
Vimunumvirus	34.0	34	34	53.0	53	53	1
Vulnificusvirus	34.0	34	34	48.0	48	48	1
Wadgaonvirus	39.0	39	39	53.0	53	53	1
Xuanwuvirus	36.5	31	38	52.5	52	53	4
Yongunavirus	34.0	34	34	46.0	46	46	1
Callevirus	73.0	73	73	38.0	38	38	2
Trinifflemingvirus	154.0	153	154	49.0	48	49	3
Emnonavirus	149.0	149	149	50.0	50	50	1
Heverleevirus	151.0	151	151	47.0	47	47	1
Innesvirus	157.0	156	159	50.0	50	50	5
Rollinsvirus	143.0	143	143	49.0	49	49	1
Andhravirus	18.0	18	19	30.0	30	30	4
Rosenblumvirus	18.0	17	18	29.0	29	30	18
Copernicusvirus	18.0	18	19	33.0	33	34	13
Minhovirus	19.0	19	19	35.0	35	35	2
Fischettivirus	17.0	17	17	35.0	35	35	1
Negarvirus	19.0	19	19	31.0	31	31	1
Arthrovirus	45.0	45	45	46.0	46	46	1
Kozyakovvirus	42.0	42	42	43.0	43	43	1
Morrisvirus	41.0	41	42	52.0	52	52	3
Wumpquatrovirus	40.5	40	41	52.0	52	52	2
Wumptrevirus	42.5	42	43	46.5	46	47	2
Claudivirus	26.0	24	27	30.0	30	31	10
Hemphillvirus	26.5	25	27	31.0	31	31	4
Klosterneuburgvirus	27.0	27	27	31.0	31	31	1
Layangcvirus	28.0	28	28	30.0	30	30	1
Bahkauvirus	18.0	18	18	38.0	38	38	1
Beecentumtrevirus	18.5	18	19	37.0	37	37	2
Salasvirus	19.0	19	22	40.0	40	40	3
Gaunavirus	21.0	21	21	35.0	35	35	2
Karezivirus	20.0	20	20	37.0	37	37	1
Bundooravirus	19.0	18	19	35.0	34	36	3
Harambevirus	21.5	21	22	35.0	35	35	2
Huangshavirus	29.0	29	29	31.0	31	31	1
Mingyongvirus	19.0	19	19	36.0	36	36	1
Cornellvirus	42.0	41	44	51.0	51	51	9
Jerseyvirus	43.0	41	45	50.0	49	50	64
Kagunavirus	42.0	41	46	51.0	50	51	14
Otakuvirus	40.0	40	40	57.0	57	57	2
Seretavirus	43.0	43	43	50.0	50	50	1
Exceevirus	79.0	79	79	40.0	40	40	1
Acanvirus	78.0	77	78	45.5	45	46	4
Cyamitesvirus	77.5	77	78	46.0	46	46	2
Enquatrovirus	70.0	70	70	41.0	41	41	1
Gamaleyavirus	72.5	68	74	43.0	43	44	30
Kaypoctavirus	74.0	73	74	44.0	44	44	5
Moovirus	72.0	72	72	45.0	45	45	1
Johnsonvirus	75.5	75	76	47.0	47	47	2
Yonginvirus	76.0	76	76	47.0	47	47	1
Matsuvirus	77.0	77	77	39.0	39	39	1
Stoningtonvirus	77.0	77	77	42.5	42	43	2
Pacinivirus	69.0	67	71	35.0	35	35	3
Vicoquintavirus	74.0	74	74	39.0	39	39	1
Cavevirus	73.0	73	73	50.0	50	50	1
Pokkenvirus	76.0	75	76	55.0	55	55	4
Philippevirus	75.0	75	75	54.0	54	54	1
Riverridervirus	76.0	76	76	49.0	49	49	1
Ithacavirus	71.5	71	73	40.0	39	40	6
Pollockvirus	68.0	68	68	36.0	36	36	1
Pylasvirus	71.0	70	71	41.0	41	42	3
Triduovirus	71.0	71	71	41.0	41	41	1
Litunavirus	73.0	72	73	55.0	55	55	19
Luzseptimavirus	74.0	73	75	53.0	53	53	2
Dorisvirus	77.0	77	77	43.0	43	43	1
Galateavirus	78.0	78	78	43.0	43	43	1
Nahantvirus	76.0	76	76	43.0	43	43	1
Aoqinvirus	73.0	73	73	50.0	50	50	1
Aorunvirus	74.0	73	75	47.5	47	48	2
Sanyabayvirus	75.5	75	76	50.0	50	50	2
Baltimorevirus	75.0	75	75	49.0	49	49	1
Gonggongvirus	76.0	76	76	49.0	49	49	1
Plymouthvirus	75.0	75	75	49.0	49	49	1
Pomeroyivirus	75.0	75	75	51.0	51	51	1
Raunefjordenvirus	74.0	74	74	43.0	43	43	1
Dongdastvirus	74.0	73	75	55.0	55	55	4
Inbricusvirus	70.0	70	70	56.0	56	56	1
Jwalphavirus	72.0	72	72	54.0	54	54	1
Pourcelvirus	73.5	73	74	54.0	54	54	2
Cbunavirus	76.0	74	77	49.0	48	49	7
Efbeekayvirus	76.0	74	77	44.0	43	45	9
Dendoorenvirus	74.0	74	74	60.0	60	60	1
Eceepunavirus	59.0	59	59	37.0	37	37	1
Electravirus	78.0	78	78	45.0	45	45	1
Huelvavirus	75.0	75	75	44.0	44	44	1
Littlefixvirus	74.5	74	75	48.0	47	49	2
Mukerjeevirus	72.0	72	72	43.0	43	43	4
Oliverunavirus	76.0	76	76	45.0	45	45	1
Pariacacavirus	71.0	70	72	43.0	43	43	2
Waedenswilvirus	74.5	74	75	51.5	51	52	2
Penintadodekavirus	68.0	68	68	38.0	38	38	1
Petruschkyvirus	70.0	70	70	41.0	41	41	1
Presleyvirus	78.0	78	78	38.0	38	38	1
Shizishanvirus	73.0	73	73	53.0	53	53	1
Varunavirus	73.0	73	73	38.0	38	38	1
Xoxocotlavirus	76.0	76	76	45.0	45	45	1
Zicotriavirus	70.5	70	71	43.0	43	43	2
Zurivirus	76.0	76	76	54.0	54	54	1
Clownvirus	58.0	58	58	66.0	66	66	1
Wizardvirus	59.0	58	60	68.0	68	68	20
Dexdertvirus	56.0	55	57	68.0	67	68	4
Kroosvirus	57.0	57	58	68.0	68	68	8
Leonardvirus	59.0	56	60	68.0	68	68	5
Vividuovirus	59.0	58	60	67.0	67	68	20
Zitchvirus	60.0	59	61	68.0	67	68	7
Lilbeanievirus	59.0	59	59	68.0	68	68	1
Coruscantvirus	134.0	134	134	48.0	48	48	1
Karimacvirus	133.0	131	134	49.0	48	49	5
Samistivirus	133.0	131	136	50.0	49	50	11
Tomasvirus	134.0	134	134	48.0	48	48	1
Annadreamyvirus	128.0	126	130	48.0	48	48	2
Faustvirus	131.0	131	131	47.0	47	47	2
Gilsonvirus	128.5	128	129	47.0	47	47	2
Wakandavirus	127.5	127	128	53.0	53	53	2
Wilnyevirus	127.0	127	127	53.0	53	53	1
Rivavirus	45.5	45	46	44.0	44	44	2
Splendidredvirus	43.5	43	44	45.0	45	45	2
Prospektnaukivirus	45.0	45	45	42.0	42	42	1
Dilongvirus	95.0	95	95	45.0	45	45	1
Flaumdravirus	92.0	91	93	45.0	45	45	2
Kremarvirus	99.0	98	99	49.0	49	49	3
Omahavirus	99.0	99	99	48.0	48	48	1
Otagovirus	99.0	94	100	48.0	48	48	11
Shenlongvirus	97.0	97	97	48.0	48	48	1
Tartuvirus	96.5	96	97	47.0	47	47	4
Torinovirus	99.0	99	99	49.0	49	49	1
Uavernvirus	102.0	102	102	51.0	51	51	1
Ventosusvirus	97.0	97	97	49.0	49	49	1
Weillhallvirus	95.0	95	95	45.0	45	45	1
Yunamivirus	93.0	93	93	45.0	45	45	1
Baldwinvirus	95.0	95	95	50.0	50	50	1
Pakpunavirus	93.0	89	95	49.0	49	49	35
Chemalvirus	95.0	95	95	44.0	44	44	1
Nankokuvirus	88.0	85	88	55.0	55	55	5
Bromdenvirus	74.0	70	78	58.5	58	59	2
Bronvirus	73.0	68	75	59.0	59	59	6
Faithunavirus	76.0	69	78	59.0	59	59	7
Lumosvirus	76.0	76	76	59.0	59	59	4
Bongovirus	81.0	80	82	61.0	60	62	2
Reyvirus	84.0	83	84	61.0	61	62	5
Kumaovirus	70.0	70	70	62.0	62	62	1
Wildcatvirus	78.0	78	78	57.0	57	57	1
Peternellavirus	40.0	40	40	35.0	35	35	1
Pippivirus	35.0	35	35	38.0	38	38	2
Commandariavirus	68.0	68	68	66.0	66	66	1
Foxborovirus	68.0	67	68	66.0	66	66	5
Gruunavirus	66.5	66	68	65.0	65	65	4
Kablunavirus	68.0	66	69	66.0	66	66	3
Pleakleyvirus	64.0	64	64	65.0	65	65	1
Skysandvirus	67.0	66	67	66.0	66	66	3
Sukkupivirus	65.0	64	66	66.0	66	66	4
Ceetrepovirus	67.0	66	68	52.0	52	52	5
Chunghsingvirus	71.0	71	71	51.0	51	51	1
Alegriavirus	49.0	49	49	50.0	50	50	1
Bievrevirus	49.0	49	49	50.0	50	50	1
Glaedevirus	46.0	46	46	50.0	50	50	1
Jouyvirus	47.0	47	50	50.0	50	50	3
Lambdavirus	45.0	42	47	50.5	50	52	4
Nesevirus	46.5	46	47	50.0	50	50	2
Radostvirus	47.0	47	47	50.0	50	50	1
Siovirus	40.0	39	40	46.0	46	47	3
Veravirus	41.0	41	41	48.0	48	48	1
Citrovirus	48.0	48	48	42.0	42	42	1
Icepovirus	50.0	50	50	43.0	43	43	1
Melvirus	44.5	44	45	45.0	45	45	2
Paundecimvirus	50.0	50	50	45.0	45	45	1
Salinovirus	49.0	49	49	48.0	48	48	1
Vipivirus	46.0	46	46	50.0	50	50	1
Mapvirus	50.0	48	53	59.0	57	60	4
Steinhofvirus	46.0	46	50	56.0	54	56	11
Haetaevirus	169.0	169	169	34.0	34	34	1
Kirovvirus	166.0	166	166	35.0	35	35	1
Denvervirus	86.0	86	86	33.0	33	33	1
Vipetofemvirus	85.5	85	86	30.0	30	30	2
Arequatrovirus	51.0	51	53	67.0	67	67	3
Caelumvirus	51.0	50	53	68.0	67	68	5
Camvirus	49.0	48	50	66.0	65	66	10
Celiavirus	50.0	50	50	69.0	69	69	1
Hautrevirus	50.0	50	50	68.0	68	68	1
Janusvirus	51.0	49	51	66.0	66	67	3
Likavirus	51.0	50	52	66.0	66	66	14
Omarvirus	49.5	49	51	67.0	67	67	4
Salutenavirus	52.0	52	52	68.0	68	68	1
Sentinelvirus	50.5	50	51	66.5	66	67	2
Yosifvirus	50.0	50	50	66.0	66	66	1
Dubowvirus	43.0	41	44	34.0	34	35	18
Phietavirus	43.0	40	45	35.0	34	36	30
Acadianvirus	70.0	70	70	68.0	68	68	4
Birdsnestvirus	71.0	71	71	70.0	70	70	1
Coopervirus	70.5	69	72	69.0	68	69	12
Imvubuvirus	70.0	70	70	70.0	70	70	1
Julieunavirus	71.0	71	71	70.0	70	70	1
Lilmcdreamyvirus	72.0	72	72	69.0	69	69	1
Pegunavirus	68.5	65	69	66.0	66	67	8
Pipefishvirus	69.0	68	69	67.0	67	68	5
Quesadillavirus	71.5	71	72	70.0	70	70	2
Rosebushvirus	67.0	67	67	69.0	69	69	4
Saguarovirus	69.0	69	69	70.0	70	70	1
Thonkovirus	69.0	69	69	69.0	69	69	1
Bixiavirus	62.0	62	62	56.0	56	56	3
Salvavirus	61.0	61	61	56.0	56	56	1
Siaravirus	61.0	61	61	57.0	57	57	1
Flowerpowervirus	46.0	46	46	61.0	61	61	1
Immanueltrevirus	46.0	46	46	60.0	60	60	1
Manuelvirus	45.0	45	45	60.0	60	60	3
Biseptimavirus	42.5	39	44	33.0	33	34	14
Peeveelvirus	43.0	35	46	33.5	33	34	10
Bixzunavirus	156.0	151	161	65.0	64	65	18
Myrnavirus	164.5	164	165	65.0	65	65	2
Aziravirus	45.5	45	46	61.5	61	62	2
Emalynvirus	46.0	44	48	61.0	60	63	17
Ponsvirus	48.0	47	49	61.0	60	61	7
Brujitavirus	47.5	46	49	67.0	67	67	4
Elesarvirus	43.0	43	43	65.0	65	65	1
Nanditavirus	42.0	42	43	65.0	65	65	5
Hawkeyevirus	67.0	67	67	57.0	57	57	1
Plotvirus	65.0	65	65	60.0	60	60	1
Kenoshavirus	61.0	60	62	52.0	51	52	7
Secretariatvirus	58.0	58	58	53.0	53	53	1
Tanisvirus	60.0	60	60	51.0	51	51	2
Nevillevirus	76.0	76	77	59.0	59	59	3
Octobienvirus	76.0	76	77	59.0	59	59	4
Lambovirus	68.0	65	69	58.0	58	58	16
Xeniaduovirus	68.0	68	68	58.0	58	58	1
Sourvirus	62.0	61	62	69.0	68	71	5
Akonivirus	54.0	54	54	60.0	60	60	2
Tinytimothyvirus	54.0	54	54	58.5	57	60	2
Corgivirus	16.0	16	16	68.0	68	68	1
Idahovirus	16.0	16	16	64.0	64	64	1
Noelyvirus	15.0	15	15	68.0	68	68	1
Hinxtonvirus	39.5	32	42	41.0	40	41	16
Norfolkplacevirus	35.5	33	38	40.0	40	40	2
Spinunavirus	41.0	39	60	40.0	40	40	16
Samwavirus	44.0	43	46	68.0	68	68	5
Antsirabevirus	45.0	45	45	69.0	69	69	1
Avocadovirus	45.0	45	45	69.0	69	69	3
Jolieduovirus	45.0	44	45	69.0	68	69	3
Liefievirus	42.0	41	42	66.5	66	67	6
Pinnievirus	44.5	44	45	69.0	69	69	2
Dragolirvirus	41.0	41	41	44.0	44	44	1
Harrisonvirus	44.0	44	44	40.0	40	40	1
Vegasvirus	46.0	46	46	44.0	44	44	1
Wanderervirus	40.0	40	40	42.0	42	42	1
Avanivirus	55.5	54	59	61.0	61	62	6
Cheoctovirus	58.0	52	61	61.0	61	62	106
Cornievirus	56.0	56	56	61.0	61	61	1
Moomoovirus	55.0	55	55	62.0	62	62	1
Squirtyvirus	60.0	60	60	62.0	62	62	1
Thetabobvirus	58.0	57	58	62.0	62	62	3
Beetrevirus	38.0	38	38	63.0	63	63	1
Mechnikovvirus	40.0	38	40	63.0	63	64	6
Torontovirus	39.0	38	41	63.0	62	63	7
Carmenvirus	42.0	42	42	42.0	42	42	2
Layangavirus	43.0	43	43	42.0	42	42	1
Layangbvirus	42.0	42	42	42.0	42	42	1
Pebcunavirus	41.0	41	41	42.0	42	42	1
Kenyattavirus	161.0	161	161	32.0	32	32	1
Zhangjivirus	165.5	165	166	34.0	34	34	2
Byrnievirus	40.0	40	40	50.0	50	50	1
Cuauhtlivirus	42.0	42	42	49.0	49	49	1
Kwaitsingvirus	39.5	39	40	50.0	50	50	2
Nochtlivirus	38.0	38	38	50.0	50	50	1
Saikungvirus	39.5	37	42	50.0	50	50	2
Shamshuipovirus	40.0	39	41	49.5	49	50	2
Wanchaivirus	40.5	40	41	49.5	49	50	2
Wongtaivirus	39.5	39	40	51.0	51	51	2
Yautsimvirus	41.0	41	41	50.0	50	50	1
Aryavirus	42.0	42	42	54.0	54	54	1
Jilinvirus	42.0	41	42	53.0	53	53	3
Bimevirus	48.0	48	49	49.0	49	49	3
Chaoyangvirus	50.0	50	50	49.0	49	49	1
Geezettvirus	51.0	51	51	48.0	48	48	1
Jedunavirus	49.0	49	49	49.0	49	49	1
Mascletvirus	49.0	49	49	50.0	50	50	1
Parissaclayvirus	49.0	49	49	48.0	48	48	1
Peatvirus	49.0	49	49	49.0	49	49	1
Ringroadvirus	47.0	47	47	49.0	49	49	1
Sircambvirus	48.0	47	49	49.0	49	49	6
Zewailvirus	48.5	48	49	49.0	49	49	2
Natevirus	167.0	167	167	34.0	34	34	1
Sophritavirus	164.5	161	168	32.5	32	33	2
Tsamsavirus	165.0	161	169	34.0	34	34	5
Eidolonvirus	43.0	43	43	55.0	55	55	1
Kharnvirus	43.5	43	44	56.0	56	56	2
Kilunavirus	43.0	43	43	55.0	55	55	1
Kipunavirus	43.0	43	43	47.0	47	47	1
Septimatrevirus	43.0	39	46	54.0	53	55	21
Getalongvirus	55.0	53	56	63.0	63	63	4
Horusvirus	56.0	56	56	63.0	63	63	1
Phistoryvirus	53.0	53	53	63.0	63	63	1
Limdunavirus	27.0	26	28	37.0	36	37	7
Unaquatrovirus	28.0	28	30	36.0	36	36	5
Adrianbuildvirus	33.0	31	35	39.0	39	40	8
Medawarvirus	34.5	33	38	40.0	40	41	14
Phadecavirus	31.0	30	32	40.0	39	40	3
Aceathervirus	37.0	37	37	42.0	42	42	1
Adovirus	37.0	37	37	41.5	41	42	2
Ahaonvirus	37.0	37	37	42.0	42	42	2
Atrivirus	38.0	38	38	41.0	41	41	1
Charlievirus	43.0	41	45	66.0	66	67	18
Baxterfoxvirus	53.0	52	54	67.0	66	67	3
Nymphadoravirus	52.5	50	55	67.0	66	67	12
Bignuzvirus	49.0	49	49	67.0	67	67	1
Fishburnevirus	47.5	46	49	67.0	67	67	16
Phayoncevirus	49.5	49	50	67.0	67	67	2
Purkyvirus	51.0	51	51	66.0	66	66	1
Tortellinivirus	50.0	50	50	66.0	66	66	1
Xaviavirus	50.0	50	50	66.0	66	66	1
Amoyvirus	56.0	56	56	46.0	46	46	1
Iggyvirus	61.0	61	61	56.5	56	57	2
Micathvirus	61.0	61	61	56.0	56	56	1
Nipunavirus	58.0	58	59	58.0	58	59	6
Nonagvirus	60.0	57	61	43.0	43	44	5
Seuratvirus	58.5	57	60	45.0	45	45	2
Shangdongvirus	42.0	42	42	63.0	63	63	1
Torvergatavirus	64.0	64	64	59.0	59	59	1
Catfishvirus	47.0	47	47	65.0	65	65	1
Dardanusvirus	43.0	43	43	67.0	67	67	1
Gesputvirus	44.0	44	44	63.0	63	63	1
Schmidtvirus	43.0	43	43	66.0	66	66	1
Tinalinvirus	43.0	43	43	65.0	65	65	1
Vendettavirus	45.5	45	46	66.0	66	66	2
Basiliskvirus	82.5	82	83	34.0	34	34	2
Yihwangvirus	81.0	81	82	34.0	34	34	3
Diegovirus	62.0	61	63	49.0	49	49	2
Oslovirus	62.5	61	64	50.0	50	50	6
Traversvirus	62.0	56	65	50.0	49	50	13
Bembunaquatrovirus	51.0	51	51	37.0	37	37	1
Pushchinovirus	50.0	50	50	36.0	36	36	1
Shirevirus	44.0	44	45	53.0	53	53	3
Subavirus	46.0	46	46	52.0	52	52	1
Justusliebigvirus	148.0	146	150	38.0	37	38	7
Phapecoctavirus	151.0	145	152	39.0	39	39	13
Jelitavirus	43.0	43	43	35.0	35	35	1
Slepowronvirus	42.0	40	44	35.0	35	35	2
Douglaswolinvirus	81.0	81	81	37.0	37	37	1
Lenusvirus	79.0	79	79	37.0	37	37	3
Lidleunavirus	75.0	75	75	38.0	38	38	1
Maenadvirus	79.0	74	81	39.0	39	39	3
Avunavirus	121.0	121	121	40.0	40	40	1
Certrevirus	149.0	142	152	51.0	50	51	5
Henunavirus	148.0	147	149	48.5	48	49	2
Mydovirus	145.5	143	147	45.0	39	45	6
