Genus	Median Genome Length (KB)	Min Genome Length (KB)	Max Genome Length (KB)	Median molGC (%)	Min molGC (%)	Max molGC (%)	Sample Size
Maklayavirus	40.0	40	40	50.0	50	50	1
Minipunavirus	39.0	38	40	47.0	47	47	3
Ningirsuvirus	40.0	39	40	51.0	51	51	7
Pektosvirus	40.5	40	41	49.0	49	49	2
Pfluvirus	41.0	41	41	56.0	56	56	2
Phutvirus	40.5	40	41	57.0	57	57	2
Pifdecavirus	39.5	39	41	56.0	56	56	4
Pijolavirus	40.0	39	41	55.0	55	56	3
Przondovirus	41.0	37	42	53.0	51	53	131
Rambovirus	40.0	40	40	47.0	47	47	1
Rindgevirus	41.0	41	41	47.0	47	47	1
Sarmavirus	41.0	41	41	49.0	49	49	1
Snaubvirus	40.0	40	40	52.0	52	52	1
Solymavirus	39.5	39	40	42.0	42	42	2
Teetrevirus	39.0	32	45	51.0	39	51	49
Teseptimavirus	39.0	32	41	49.0	48	49	27
Troedvirus	40.5	40	41	58.0	58	58	2
Unosvirus	39.0	39	39	58.0	58	58	2
Unyawovirus	40.0	40	40	48.0	48	48	2
Waldovirus	41.0	41	41	58.0	58	58	2
Warsawvirus	42.0	42	42	57.0	57	57	1
Wuhanvirus	38.0	37	39	41.0	41	41	3
Yuanmingyuanvirus	40.0	40	40	53.0	53	53	1
Kelmasvirus	40.0	40	40	62.0	62	62	1
Piedvirus	38.0	38	38	60.0	60	60	1
Serkorvirus	39.0	36	40	63.0	63	63	3
Stompelvirus	40.0	40	40	62.0	62	62	1
Alfirinvirus	46.0	46	46	54.0	54	54	1
Atuphduovirus	45.0	45	45	55.0	55	55	1
Cuernavacavirus	46.0	44	47	49.0	49	49	5
Mengvirus	45.0	45	45	51.0	51	51	1
Palovirus	46.0	46	46	52.0	52	52	1
Pasovirus	45.0	45	45	55.0	55	55	1
Songlingvirus	44.0	44	44	58.0	58	58	1
Tepoztlanvirus	46.0	46	46	56.0	56	56	2
Yautepecvirus	45.0	45	45	56.0	56	56	1
Angmobvirus	47.0	47	47	48.0	48	48	1
Cheungvirus	48.0	48	48	39.0	39	39	1
Dishuivirus	46.0	46	46	46.0	46	46	1
Igirivirus	45.0	45	45	50.0	50	50	1
Nerivirus	45.0	45	45	49.0	49	49	1
Poseidonvirus	42.0	42	42	44.0	44	44	1
Qadamvirus	45.0	45	45	42.0	42	42	1
Spiovirus	46.0	46	46	47.0	47	47	1
